;;Total;Check;Utility
Dataset;Polygamma;Value;Value;Value
Adult;true;1294.0;258.0;0.027223087483846768
Adult;false;4235.0;847.0;0.027223087483846768
Cup;true;396302.0;2733.0;0.029004838286968978
Cup;false;902043.0;6220.0;0.029004838286968978
Fars;true;25514.0;472.0;0.04323019201173787
Fars;false;183307.0;3666.0;0.04323019201173787
Atus;true;80668.0;4745.0;0.01911718822039524
Atus;false;1744836.0;38774.0;0.011452715205421599
Ihis;true;532366.0;31315.0;0.01604410572936466
Ihis;false;8945171.0;39233.0;0.040951566276999786
