;;;Utility;Suppressed;Transformation
Dataset;Privacy model;Uniqueness;Value;Value;Value
Adult;p-uniqueness (dankar);0.001;9.805829974612523;0.0;(0%, 75%, 0%, 0%, 33%, 50%, 0%, 50%, 0%)
Adult;p-uniqueness (dankar);0.002;14.21937214978637;10.669053776274783;(0%, 75%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Adult;p-uniqueness (dankar);0.003;13.242091380113052;9.667793912870499;(0%, 75%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Adult;p-uniqueness (dankar);0.004;12.416821941838418;8.822359259996022;(0%, 75%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Adult;p-uniqueness (dankar);0.005;3.9584122159128876;0.0;(0%, 75%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Adult;p-uniqueness (dankar);0.006;2.940553410295066;0.0;(0%, 50%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Adult;p-uniqueness (dankar);0.007;2.940553410295066;0.0;(0%, 50%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Adult;p-uniqueness (dankar);0.008;2.399799523491164;0.0;(0%, 25%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Adult;p-uniqueness (dankar);0.009;2.399799523491164;0.0;(0%, 25%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Adult;p-uniqueness (dankar);0.01;2.399799523491164;0.0;(0%, 25%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Adult;p-uniqueness (pitman);0.001;9.805829974612523;0.0;(0%, 75%, 0%, 0%, 33%, 50%, 0%, 50%, 0%)
Adult;p-uniqueness (pitman);0.002;8.72052137220738;0.0;(0%, 50%, 0%, 0%, 33%, 50%, 50%, 0%, 0%)
Adult;p-uniqueness (pitman);0.003;6.772642453425437;0.0;(0%, 75%, 0%, 0%, 33%, 50%, 0%, 0%, 0%)
Adult;p-uniqueness (pitman);0.004;5.727229465637729;0.0;(0%, 50%, 0%, 0%, 33%, 50%, 0%, 0%, 0%)
Adult;p-uniqueness (pitman);0.005;3.9584122159128876;0.0;(0%, 75%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Adult;p-uniqueness (pitman);0.006;2.940553410295066;0.0;(0%, 50%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Adult;p-uniqueness (pitman);0.007;2.940553410295066;0.0;(0%, 50%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Adult;p-uniqueness (pitman);0.008;2.399799523491164;0.0;(0%, 25%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Adult;p-uniqueness (pitman);0.009;2.399799523491164;0.0;(0%, 25%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Adult;p-uniqueness (pitman);0.01;2.399799523491164;0.0;(0%, 25%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Adult;p-uniqueness (zayatz);0.001;15.487742132980408;11.968702340693588;(0%, 75%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Adult;p-uniqueness (zayatz);0.002;14.21937214978637;10.669053776274783;(0%, 75%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Adult;p-uniqueness (zayatz);0.003;13.242091380113052;9.667793912870499;(0%, 75%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Adult;p-uniqueness (zayatz);0.004;12.416821941838418;8.822359259996022;(0%, 75%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Adult;p-uniqueness (zayatz);0.005;11.687450722623804;8.073072077448446;(0%, 75%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Adult;p-uniqueness (zayatz);0.006;11.03159771135429;7.396724355148863;(0%, 75%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Adult;p-uniqueness (zayatz);0.007;10.42713104523969;6.77342351302964;(0%, 75%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Adult;p-uniqueness (zayatz);0.008;9.861200513633527;6.189907831045686;(0%, 75%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Adult;p-uniqueness (zayatz);0.009;9.333814813796604;5.646177309197003;(0%, 75%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Adult;p-uniqueness (zayatz);0.01;8.835721270371977;5.128970227438499;(0%, 75%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Adult;p-uniqueness (snb);0.001;18.50915693891466;15.065313971222066;(0%, 75%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Adult;p-uniqueness (snb);0.002;18.50915693891466;15.065313971222066;(0%, 75%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Adult;p-uniqueness (snb);0.003;18.50915693891466;15.065313971222066;(0%, 75%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Adult;p-uniqueness (snb);0.004;18.50915693891466;15.065313971222066;(0%, 75%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Adult;p-uniqueness (snb);0.005;18.50915693891466;15.065313971222066;(0%, 75%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Adult;p-uniqueness (snb);0.006;18.50915693891466;15.065313971222066;(0%, 75%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Adult;p-uniqueness (snb);0.007;18.50915693891466;15.065313971222066;(0%, 75%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Adult;p-uniqueness (snb);0.008;18.50915693891466;15.065313971222066;(0%, 75%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Adult;p-uniqueness (snb);0.009;18.50915693891466;15.065313971222066;(0%, 75%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Adult;p-uniqueness (snb);0.01;18.50915693891466;15.065313971222066;(0%, 75%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Cup;p-uniqueness (dankar);0.001;5.277556414229023;0.0;(60%, 50%, 0%, 0%, 0%, 25%, 50%, 0%)
Cup;p-uniqueness (dankar);0.002;4.292278557798279;0.0;(60%, 50%, 0%, 0%, 0%, 25%, 25%, 0%)
Cup;p-uniqueness (dankar);0.003;3.6761448050818046;0.0;(60%, 25%, 0%, 0%, 0%, 25%, 25%, 0%)
