;;;Entropy;EntropyWithBound
Dataset;Generalization;Suppression;Value;Value
Adult;0.0;0.0;0.0;0.0
Adult;0.0;0.1;-71459.81817786767;55757.517980034165
Adult;0.0;0.2;-84458.86932287109;111397.61982518311
Adult;0.0;0.3;-72001.42182336381;167112.7778673746
Adult;0.0;0.4;-40673.38493709519;222791.14956890716
Adult;0.0;0.5;7194.8586160298;278538.8585046541
Adult;0.0;0.6;71097.32043874792;334554.00818131334
Adult;0.0;0.7;151349.1301425149;390458.8764249867
Adult;0.0;0.8;250600.97134038588;446463.2177726533
Adult;0.0;0.9;375312.04195925005;502556.17124409165
Adult;0.0;1.0;558045.2345123533;558299.0502615293
Adult;0.25;0.0;223499.17609501228;223499.17609501228
Adult;0.25;0.1;129618.30374414784;256898.79806379194
Adult;0.25;0.2;94236.48790217095;290179.07301409455
Adult;0.25;0.3;84294.9985032978;323502.4281563013
Adult;0.25;0.4;93494.99648333796;357039.1214017242
Adult;0.25;0.5;119117.13853666115;390552.36371966085
Adult;0.25;0.6;160458.80761095943;424010.67208840407
Adult;0.25;0.7;218301.32406121344;457514.44352472696
Adult;0.25;0.8;295086.61690284667;491048.4074133632
Adult;0.25;0.9;397382.2897598209;524716.9595925414
Adult;0.25;1.0;558047.2345123533;558312.9243557822
Adult;0.5;0.0;345801.05297019397;345801.05297019397
Adult;0.5;0.1;282152.18995479465;367011.12573260284
Adult;0.5;0.2;257491.54818761811;388123.83004768135
Adult;0.5;0.3;249801.20585794977;409273.64165229467
Adult;0.5;0.4;254934.24918463748;430631.06996294175
Adult;0.5;0.5;271044.6828747052;452003.3580269675
Adult;0.5;0.6;297512.60490585986;473212.16290953447
Adult;0.5;0.7;334948.5048839367;494422.6672410434
Adult;0.5;0.8;385079.7266828109;515717.6071544283
Adult;0.5;0.9;452182.14372021286;537077.6181090925
Adult;0.5;1.0;558143.1730624479;558319.805673616
Adult;0.75;0.0;479013.1874321591;479013.1874321591
Adult;0.75;0.1;458638.5499563688;486924.57394597406
Adult;0.75;0.2;451292.50607036444;494837.6782513818
Adult;0.75;0.3;449524.04682720505;502682.1930251751
Adult;0.75;0.4;452055.8942284902;510624.4829539926
Adult;0.75;0.5;458241.71180626255;518562.91890270624
Adult;0.75;0.6;467905.8273473551;526472.2127965398
Adult;0.75;0.7;481209.3148312489;534366.9197010656
Adult;0.75;0.8;498843.84165588435;542390.6742405219
Adult;0.75;0.9;522121.83330023504;550420.5119190617
Adult;0.75;1.0;558269.757795933;558328.1975345779
Adult;1.0;0.0;558333.0501626539;558333.0501626539
Adult;1.0;0.1;558333.0501626539;558333.0501626539
Adult;1.0;0.2;558333.0501626539;558333.0501626539
Adult;1.0;0.3;558333.0501626539;558333.0501626539
Adult;1.0;0.4;558333.0501626539;558333.0501626539
Adult;1.0;0.5;558333.0501626539;558333.0501626539
Adult;1.0;0.6;558333.0501626539;558333.0501626539
Adult;1.0;0.7;558333.0501626539;558333.0501626539
Adult;1.0;0.8;558333.0501626539;558333.0501626539
Adult;1.0;0.9;558333.0501626539;558333.0501626539
Adult;1.0;1.0;558333.0501626539;558333.0501626539
Cup;0.0;0.0;0.0;0.0
Cup;0.0;0.1;32855.675707813316;261557.53408721782
Cup;0.0;0.2;175143.37615976387;530180.9148031494
Cup;0.0;0.3;364954.26420444105;799785.8889004643
Cup;0.0;0.4;590314.5071223547;1070043.0591350908
Cup;0.0;0.5;845703.4075962555;1340099.4374293264
Cup;0.0;0.6;1130156.777064441;1609918.1658337926
Cup;0.0;0.7;1445057.6511460114;1879915.2540621075
Cup;0.0;0.8;1795267.3425642925;2150422.7802244197
Cup;0.0;0.9;2191969.262251055;2420684.3527107025
Cup;0.0;1.0;2692013.775484004;2692097.5262315576
Cup;0.25;0.0;1300415.0342354141;1300415.0342354141
Cup;0.25;0.1;1201899.9274402836;1436908.3256071238
Cup;0.25;0.2;1212876.7348487084;1575988.633272143
Cup;0.25;0.3;1271376.5107515126;1715275.8250621266
Cup;0.25;0.4;1365569.8837825847;1854933.572088707
Cup;0.25;0.5;1490383.3230295237;1994491.973658949
Cup;0.25;0.6;1644423.165512112;2133769.710412708
Cup;0.25;0.7;1829284.9547719238;2273204.2717537573
Cup;0.25;0.8;2049409.576869675;2412635.151036482
Cup;0.25;0.9;2317031.427037578;2552076.271680522
Cup;0.25;1.0;2692013.775484004;2692114.2548179803
Cup;0.5;0.0;2084179.1282923708;2084179.1282923708
Cup;0.5;0.1;1966517.5425383383;2144952.0118773435
Cup;0.5;0.2;1931074.5863350756;2205777.98205587
Cup;0.5;0.3;1931260.763071368;2266625.87017462
Cup;0.5;0.4;1957883.0276911967;2327384.7347287647
Cup;0.5;0.5;2007547.6669061098;2388094.851225496
Cup;0.5;0.6;2079441.3032316312;2448932.9964072825
Cup;0.5;0.7;2174401.3805045853;2509782.9524889616
Cup;0.5;0.8;2295843.900433175;2570572.105696185
Cup;0.5;0.9;2452893.4586400827;2631349.144745257
Cup;0.5;1.0;2692048.567107155;2692131.0107345968
Cup;0.75;0.0;2391949.5126109878;2391949.5126109878
Cup;0.75;0.1;2273150.919846326;2421902.809687322
Cup;0.75;0.2;2222981.3206331027;2451966.8715002756
Cup;0.75;0.3;2202443.3186284606;2481981.1287083304
Cup;0.75;0.4;2204032.719742064;2512010.84298904
Cup;0.75;0.5;2224782.9155278713;2541971.3399585336
Cup;0.75;0.6;2264055.560100715;2572034.8834661017
Cup;0.75;0.7;2322545.1490994957;2602089.0967361433
Cup;0.75;0.8;2403131.3686403404;2632126.4010773236
Cup;0.75;0.9;2513283.0155002647;2662046.8324612593
Cup;0.75;1.0;2692065.9629187016;2692146.322521778
Cup;1.0;0.0;2692152.9419765244;2692152.9419765244
