;;Total;Check;Checks;Utility
Dataset;LowerBound;Value;Value;Value;Value
Adult;true;230.0;46.0;5.0;0.027223087483846768
Adult;false;100288.0;7.0;12960.0;0.027223087483846768
Cup;true;73684.0;508.0;145.0;0.029004838286968978
Cup;false;7299025.0;162.0;45000.0;0.029004838286968978
Fars;true;4479.0;79.0;56.0;0.04323019201173787
Fars;false;577941.0;27.0;20736.0;0.04323019201173787
Atus;true;32628.0;1631.0;20.0;0.022442763403297844
Atus;false;8439131.0;241.0;34992.0;0.022442763403297844
Ihis;true;29174.0;1716.0;17.0;0.01604410572936466
Ihis;false;2.4934804E7;961.0;25920.0;0.01604410572936466
