;;;;Utility;Suppressed;Transformation
Dataset;Utility measure;Privacy model;Uniqueness;Value;Value;Value
Adult;Entropy;p-sample-uniqueness;0.001;0.3055162561450239;10.165108414561368;(0%, 100%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Adult;Loss;p-sample-uniqueness;0.001;0.18343163054963327;8.126118957628805;(0%, 75%, 0%, 0%, 67%, 0%, 0%, 50%, 0%)
Adult;Entropy;p-sample-uniqueness;0.002;0.304007307189884;10.065645514223196;(0%, 100%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Adult;Loss;p-sample-uniqueness;0.002;0.182494556372978;8.02665605729063;(0%, 75%, 0%, 0%, 67%, 0%, 0%, 50%, 0%)
Adult;Entropy;p-sample-uniqueness;0.003;0.30260307210682663;9.966182613885021;(0%, 100%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Adult;Loss;p-sample-uniqueness;0.003;0.18156104635639578;7.927193156952457;(0%, 75%, 0%, 0%, 67%, 0%, 0%, 50%, 0%)
Adult;Entropy;p-sample-uniqueness;0.004;0.3011242711209643;9.866719713546846;(0%, 100%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Adult;Loss;p-sample-uniqueness;0.004;0.18063066718155618;7.8277302566142835;(0%, 75%, 0%, 0%, 67%, 0%, 0%, 50%, 0%)
Adult;Entropy;p-sample-uniqueness;0.005;0.29973842703089276;9.767256813208673;(0%, 100%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Adult;Loss;p-sample-uniqueness;0.005;0.17971068186199263;7.728267356276108;(0%, 75%, 0%, 0%, 67%, 0%, 0%, 50%, 0%)
Adult;Entropy;p-sample-uniqueness;0.006;0.2983394176901777;9.667793912870499;(0%, 100%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Adult;Loss;p-sample-uniqueness;0.006;0.17879064540999184;7.628804455937935;(0%, 75%, 0%, 0%, 67%, 0%, 0%, 50%, 0%)
Adult;Entropy;p-sample-uniqueness;0.007;0.29678620549671153;9.565015582521053;(0%, 100%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Adult;Loss;p-sample-uniqueness;0.007;0.17783988726565647;7.526026125588489;(0%, 75%, 0%, 0%, 67%, 0%, 0%, 50%, 0%)
Adult;Entropy;p-sample-uniqueness;0.008;0.2952197886574453;9.46555268218288;(0%, 100%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Adult;Loss;p-sample-uniqueness;0.008;0.17691974657375106;7.426563225250316;(0%, 75%, 0%, 0%, 67%, 0%, 0%, 50%, 0%)
Adult;Entropy;p-sample-uniqueness;0.009;0.29386273237740995;9.366089781844705;(0%, 100%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Adult;Loss;p-sample-uniqueness;0.009;0.1759995544827889;7.3271003249121405;(0%, 75%, 0%, 0%, 67%, 0%, 0%, 50%, 0%)
Adult;Entropy;p-sample-uniqueness;0.01;0.29247676259396216;9.266626881506532;(0%, 100%, 0%, 0%, 33%, 0%, 0%, 0%, 0%)
Adult;Loss;p-sample-uniqueness;0.01;0.1750793109044383;7.227637424573967;(0%, 75%, 0%, 0%, 67%, 0%, 0%, 50%, 0%)
Adult;Entropy;k-anonymity;0.001;0.35178555449908855;8.88866786022147;(0%, 100%, 0%, 0%, 67%, 50%, 0%, 0%, 0%)
Adult;Loss;k-anonymity;0.001;0.22311291847029283;8.560440289105497;(0%, 75%, 0%, 0%, 67%, 50%, 0%, 50%, 0%)
Adult;Entropy;k-anonymity;0.002;0.3760108794990659;7.539287845633578;(0%, 100%, 0%, 0%, 100%, 50%, 0%, 0%, 0%)
Adult;Loss;k-anonymity;0.002;0.24391861510849408;7.214375704528877;(0%, 75%, 0%, 0%, 67%, 50%, 50%, 50%, 0%)
Adult;Entropy;k-anonymity;0.003;0.3946729377181592;9.28983489158544;(0%, 100%, 0%, 0%, 100%, 50%, 0%, 0%, 0%)
Adult;Loss;k-anonymity;0.003;0.25510998050475003;8.567071149128042;(0%, 75%, 0%, 0%, 67%, 50%, 50%, 50%, 0%)
Adult;Entropy;k-anonymity;0.004;0.4345837006151884;7.741529076321199;(0%, 100%, 0%, 0%, 100%, 50%, 0%, 50%, 0%)
Adult;Loss;k-anonymity;0.004;0.29401362007097104;13.288243485180029;(0%, 75%, 0%, 0%, 67%, 50%, 50%, 50%, 0%)
