;;Time;Utility
Dataset;Privacy;Value;Value
adult;K_2_ANONYMITY;1143.0;0.8379789553952692
adult;K_5_ANONYMITY;2370.0;0.7787132554404288
adult;K_2_AVG_5_ANONYMITY;5207.0;0.8379789553952692
adult;K_3_AVG_5_ANONYMITY;5835.0;0.8077070946964666
cup;K_2_ANONYMITY;10665.0;0.8862728419060015
cup;K_5_ANONYMITY;17695.0;0.860310639082505
cup;K_2_AVG_5_ANONYMITY;23254.0;0.8862728419060015
cup;K_3_AVG_5_ANONYMITY;21484.0;0.8735022147244711
fars;K_2_ANONYMITY;3072.0;0.8867543585126874
fars;K_5_ANONYMITY;6220.0;0.8471462197094193
fars;K_2_AVG_5_ANONYMITY;13584.0;0.8867543585126874
fars;K_3_AVG_5_ANONYMITY;13967.0;0.868051424534996
atus;K_2_ANONYMITY;2276.0;0.9452634101846358
atus;K_5_ANONYMITY;5078.0;0.9130585613950422
atus;K_2_AVG_5_ANONYMITY;8369.0;0.9452634101846358
atus;K_3_AVG_5_ANONYMITY;9955.0;0.9276484456602885
ihis;K_2_ANONYMITY;26878.0;0.9232164810289503
ihis;K_5_ANONYMITY;81705.0;0.8711639862825868
ihis;K_2_AVG_5_ANONYMITY;97894.0;0.9232164810289503
ihis;K_3_AVG_5_ANONYMITY;132617.0;0.9002856269336912
