;;utility-(0.01)-uniqueness;utility-(3,5)-strict-average-risk;utility-(5)-anonymity
Dataset;Model;Value;Value;Value
adult;Entropy;0.7277098564377871;3.1660699904926126;3.552056439464097
adult;Loss;0.019698705754820356;0.19229290530353338;0.22128674455957098
fars;Entropy;1.0;2.0962281555343236;2.3304013740523546
fars;Loss;0.07043636972645317;0.13194857546500405;0.15285378029058072
atus;Entropy;0.41746152198271375;1.5922689012301492;1.8495853543195242
atus;Loss;0.024755821112861565;0.07235155433971152;0.08694143860495784
ihis;Entropy;0.9207850495195711;2.2725618197579296;2.5301629900851577
ihis;Loss;0.012953515471375798;0.09971437306630881;0.12883601371741316
cup;Entropy;1.840148773624856;4.130262642549246;4.354820046477603
cup;Loss;0.02681544811484371;0.1264977852755289;0.13968936091749518
